Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
10.89,8.93,0.82,1.214,0.022,172.1, 23.1,  3.0, 1.0,4234,100,1.831,0.041,0.14,0.15,2.32,0.67,30.63,3.08,2.16,0.63,29.58,2.97,2.33,0.67,30.67,3.08,1
12.23,33.53,0.89,4.068,0.043,131.5,  5.9, 15.3, 2.0,4678,143,2.428,0.014,0.46,0.3,1.13,0.12,10.77,0.43,1.09,0.12,10.59,0.42,1.14,0.12,10.83,0.43,2
13.62,41.62,0.63,4.557,0.145, 80.5,  4.3, 17.9, 1.6,5008,161,2.536,0.011,-0.12,0.3,1.52,0.23,11.02,0.76,1.47,0.22,10.84,0.74,1.55,0.23,11.13,0.77,2
13.33,33.13,0.56,3.897,0.058,132.7,  6.7, 13.5, 1.2,4697,141,2.423,0.011,0.15,0.3,1.31,0.13,11.62,0.46,1.2,0.12,11.16,0.44,1.32,0.13,11.67,0.47,2
10.93,30.7,0.63,3.699,0.067, 88.2,  4.9, 12.6, 1.2,4995,100,2.404,0.011,-0.72,0.15,1.4,0.15,12.32,0.56,1.29,0.14,11.81,0.53,1.44,0.15,12.47,0.57,2
11.57,46.52,1.13,4.892,0.048, 52.3,  4.1, 19.7, 1.2,4836,80,2.577,0.012,0.2,0.15,1.52,0.14,10.5,0.37,1.45,0.14,10.26,0.36,1.54,0.14,10.59,0.37,2
12.86,149.79,0.88,12.864,0.024, 47.4,  1.9, 37.9, 1.4,4815,80,3.084,0.006,-0.31,0.15,1.05,0.05,4.88,0.09,0.95,0.05,4.65,0.08,1.05,0.05,4.87,0.09,1
13.76,164.74,1.09,13.223,0.023, 45.8,  2.2, 43.1, 2.6,4983,145,3.133,0.008,-0.16,0.3,1.32,0.08,5.17,0.11,1.28,0.08,5.08,0.11,1.34,0.08,5.21,0.11,1
12.85,45.87,0.51,5.183,0.019, 94.3,  4.8, 14.5, 0.9,4945,147,2.576,0.009,-0.69,0.3,1.2,0.08,9.33,0.23,1.08,0.07,8.87,0.22,1.21,0.08,9.38,0.23,1
13.63,54.57,0.67,5.044,0.026, 49.5,  4.7, 14.7, 2.1,4762,166,2.643,0.01,0.14,0.3,2.12,0.16,11.5,0.32,1.99,0.15,11.14,0.31,2.16,0.17,11.61,0.32,2
11.34,54.12,0.48,5.505,0.015, 88.4,  4.5, 17.7, 1.0,4632,100,2.634,0.007,0.2,0.15,1.4,0.08,9.44,0.19,1.27,0.07,9.02,0.18,1.42,0.08,9.5,0.2,1
11.55,124.78,1.45,10.444,0.011, 33.8,  1.6, 44.3, 5.1,5083,100,3.016,0.008,-0.05,0.15,1.52,0.09,6.34,0.13,1.51,0.09,6.32,0.13,1.55,0.09,6.39,0.13,1
8.81,40.69,0.85,4.486,0.038, 76.8,  3.5, 16.6, 1.3,4998,147,2.526,0.012,-0.11,0.3,1.51,0.14,11.11,0.37,1.46,0.13,10.91,0.37,1.54,0.14,11.22,0.38,2
13.83,82.07,0.52,7.899,0.017, 74.0,  2.8, 24.6, 1.4,4857,147,2.825,0.008,-0.1,0.3,1.24,0.08,7.12,0.16,1.16,0.07,6.9,0.15,1.25,0.08,7.15,0.16,1
12.47,53.41,0.44,5.571,0.012, 88.5,  4.4, 16.8, 1.0,4772,80,2.634,0.007,-0.21,0.15,1.34,0.07,9.24,0.17,1.2,0.06,8.76,0.16,1.34,0.07,9.25,0.17,1
11.47,12.55,0.22,1.817,0.017,298.3, 24.2,  4.6, 0.9,4386,80,1.987,0.01,-0.06,0.15,1.35,0.11,19.56,0.6,1.18,0.09,18.26,0.55,1.33,0.1,19.35,0.59,1
